Condition,mental,change,want_change,genes,punish,control,wrong,distress,common
pedo,7,3,4,1,5,7,7,4,5
pedo,4,3,4,4,4,4,4,4,68
pedo,6,7,4,4,6,4,7,6,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,6,4,3,4,6,7,6,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,6,6,3,4,4,2,7,2,2
pedo,7,7,4,6,6,1,7,5,15
pedo,,,,,,,,,
pedo,5,5,5,5,4,3,6,5,15
pedo,4,6,5,3,4,3,7,6,2
pedo,6,3,5,3,4,4,7,5,1
pedo,5,4,3,5,4,5,5,5,41
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,3,6,3,2,6,6,7,3,7
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,6,4,4,3,7,7,7
pedo,6,5,4,2,4,3,7,5,20
pedo,,,,,,,,,
pedo,3,7,4,4,4,1,1,7,50
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,6,5,4,4,4,7,7,10
pedo,7,7,4,1,7,4,7,1,8
pedo,7,7,4,2,4,1,1,5,18
pedo,5,5,5,4,6,5,4,4,32
pedo,,,,,,,,,
pedo,1,5,1,3,7,1,7,3,1
pedo,7,7,6,4,4,3,7,7,2
pedo,7,7,1,1,7,4,7,1,1
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,4,2,1,7,7,7,3,9
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,7,4,4,1,4,7,35
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,4,2,5,1,7,7,20
pedo,,,,,,,,,
pedo,6,4,4,2,4,3,7,6,15
pedo,7,7,5,2,5,7,7,4,41
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,3,3,7,3,7,4,40
pedo,7,5,1,1,7,6,7,7,45
pedo,6,7,4,4,4,1,7,4,30
pedo,7,7,4,4,4,4,7,4,1
pedo,7,6,3,4,7,4,7,5,1
pedo,,,,,,,,,
pedo,6,6,5,3,4,2,6,4,5
pedo,7,7,6,5,3,3,5,7,12
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,5,5,4,2,7,4,39
pedo,7,6,5,1,4,5,7,5,4
pedo,7,6,6,2,4,2,7,7,2
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,4,4,1,4,6,7,4,15
pedo,3,3,5,3,3,6,6,5,23
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,4,6,4,2,5,4,3,5,28
pedo,6,7,5,2,4,2,7,4,10
pedo,,,,,,,,,
pedo,7,7,3,5,7,3,7,6,5
pedo,,,,,,,,,
pedo,6,7,5,4,4,2,7,6,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,5,1,6,1,7,7,7,2,34
pedo,,,,,,,,,
pedo,6,6,4,3,5,2,7,5,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,7,4,4,1,7,7,1
pedo,,,,,,,,,
pedo,7,6,2,6,7,6,7,6,20
pedo,5,3,4,1,5,5,7,5,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,6,3,6,7,7,7,7,7
pedo,7,5,4,3,7,5,7,7,5
pedo,,,,,,,,,
pedo,7,6,4,1,7,2,7,5,5
pedo,7,7,2,2,7,7,7,7,37
pedo,7,7,4,1,7,7,7,4,40
pedo,7,6,3,1,7,6,7,6,5
pedo,7,6,4,2,6,5,7,5,15
pedo,,,,,,,,,
pedo,6,7,5,4,6,4,7,5,1
pedo,4,6,4,3,4,5,6,4,10
pedo,7,5,1,2,4,5,7,5,10
pedo,,,,,,,,,
pedo,7,4,4,2,7,7,7,4,19
pedo,1,7,1,1,7,1,7,1,12
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,4,5,5,4,5,4,1,5,70
pedo,7,5,2,4,4,5,7,5,3
pedo,7,7,7,2,7,7,7,7,23
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,6,6,7,7,7,7,60
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,5,3,4,2,5,4,7,5,3
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,5,7,1,1,6,6,7,1,20
pedo,7,1,4,1,7,7,7,7,51
pedo,7,6,4,1,7,5,7,4,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,4,4,4,4,4,4,4,4,88
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,6,6,6,4,4,4,7,5,8
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,3,7,5,5,4,2,6,4,1
pedo,,,,,,,,,
pedo,7,4,6,3,4,4,4,5,41
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,4,4,4,4,4,4,7,4,24
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,1,4,6,4,4,1,6,2,27
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,1,7,1,4,4,1,2,6,82
pedo,7,4,4,2,6,5,7,4,4
pedo,,,,,,,,,
pedo,7,6,5,7,7,6,7,3,67
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,6,5,4,4,4,7,6,25
pedo,4,7,4,5,7,1,7,7,30
pedo,,,,,,,,,
pedo,6,7,3,4,4,1,7,4,12
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,4,1,7,1,7,3,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,2,5,4,3,4,5,7,4,2
pedo,6,6,4,4,4,4,7,4,10
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,1,4,7,1,7,7,4
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,6,5,6,5,6,5,5,5,65
pedo,7,6,1,1,6,4,7,2,15
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,5,4,1,7,5,7,5,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,1,7,1,1,7,7,7,7,34
pedo,,,,,,,,,
pedo,4,7,6,1,4,4,7,4,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,1,7,1,1,7,7,7,2,15
pedo,6,6,3,4,6,3,7,2,25
pedo,7,4,6,3,5,5,7,5,6
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,6,5,3,4,2,6,7,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,6,5,6,4,1,7,5,2
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,1,4,7,1,7,4,10
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,5,6,5,1,6,5,7,6,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,4,5,5,3,4,2,6,5,1
pedo,7,7,2,1,7,1,7,4,12
pedo,7,7,7,6,7,1,7,7,1
pedo,,,,,,,,,
pedo,7,6,4,1,6,2,7,4,3
pedo,4,7,7,1,7,2,7,7,10
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,5,5,6,5,7,7,7,4,33
pedo,,,,,,,,,
pedo,7,7,1,1,4,4,7,3,1
pedo,6,7,1,1,5,5,7,3,19
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,1,7,7,4,7,5,10
pedo,,,,,,,,,
pedo,1,4,4,1,7,7,7,4,3
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,6,7,5,4,2,7,7,10
pedo,,,,,,,,,
pedo,4,7,1,1,7,7,7,1,10
pedo,7,4,4,4,4,1,7,7,1
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,5,3,3,2,6,5,7,3,8
pedo,7,7,3,5,6,2,7,4,14
pedo,,,,,,,,,
pedo,2,6,5,5,7,1,4,7,22
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,6,1,7,5,7,6,7
pedo,,,,,,,,,
pedo,7,6,5,6,7,5,7,7,15
pedo,7,6,1,6,7,1,7,7,20
pedo,,,,,,,,,
pedo,6,5,5,5,7,3,6,4,33
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,1,6,2,2,4,5,6,3,15
pedo,,,,,,,,,
pedo,7,7,3,1,6,2,7,6,10
pedo,7,2,4,4,5,7,7,7,20
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,2,7,6,1,7,2,7,7,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,6,1,2,7,3,7,2,4
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,5,4,5,2,7,6,5
pedo,7,6,5,1,6,3,7,4,5
pedo,7,7,2,1,4,1,7,6,3
pedo,7,7,5,5,5,2,7,6,5
